document,section,table_index,항목,내용,ID,요구사항,우선순위,설명
01_requirements,요구사항 정의서 > 1. 프로젝트 개요,1,서비스명,쿠왕 (Couwang),,,,
01_requirements,요구사항 정의서 > 1. 프로젝트 개요,1,서비스 목적,"사용자가 보유한 쿠폰/기프티콘과 멤버십을 로컬에서 등록, 확인, 사용 완료 처리하고 만료 전 알림을 받아 실제 사용까지 이어지도록 돕는다.",,,,
01_requirements,요구사항 정의서 > 1. 프로젝트 개요,1,타겟 사용자,"모바일 쿠폰, 기프티콘, 멤버십을 자주 보유하지만 만료일과 바코드 확인이 번거로운 개인 사용자",,,,
01_requirements,요구사항 정의서 > 1. 프로젝트 개요,1,현재 저장 방식,서버 없이 로컬 SQLite 기반 저장,,,,
01_requirements,요구사항 정의서 > 1. 프로젝트 개요,1,핵심 가치,"쿠폰 만료 손실 감소, 쿠폰/멤버십 빠른 확인, 이미지 기반 자동 입력 보조",,,,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-001,사용자는 앱을 열자마자 보유 쿠폰과 만료 임박 상태를 확인할 수 있어야 한다.,High,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-002,쿠폰 등록 절차는 수동 입력을 기본으로 하되 이미지 기반 OCR/바코드/QR 인식을 보조 흐름으로 제공해야 한다.,High,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-003,쿠폰 만료 전 알림을 통해 사용자가 쿠폰을 잊지 않도록 해야 한다.,High,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-004,멤버십 카드를 별도 탭에서 관리하고 상세 화면에서 바코드를 크게 확인할 수 있어야 한다.,High,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-005,첫 출시 MVP는 로그인/서버/결제/광고 없이 로컬 단독 사용으로 안정성을 우선해야 한다.,High,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-006,"향후 로그인, 클라우드 백업, 이메일 백업 확장이 가능하도록 로컬 데이터 구조를 분리해 관리해야 한다.",Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.1 스플래시,3,,,FR-001,앱 시작 시 SplashScreen을 표시한 뒤 홈 화면으로 이동해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.1 스플래시,3,,,FR-002,"앱 시작 시 필요한 초기화, 로컬 DB 초기화, 알림 서비스 초기화가 수행되어야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.1 스플래시,3,,,FR-003,"알림 클릭으로 앱이 실행된 경우 쿠폰 상세로 이동하되, 이후 앱 아이콘으로 재실행하면 홈으로 시작해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-010,"홈 화면은 쿠폰 리스트, 절약 말풍선, 알림 진입, 쿠폰 추가 FAB를 포함해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-011,"쿠폰 리스트는 사용가능, 사용완료, 만료 상태 필터를 제공해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-012,쿠폰 리스트는 만료순/이름순 정렬을 토글 방식으로 제공해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-013,"검색은 쿠폰명뿐 아니라 브랜드, 카테고리까지 대상으로 해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-014,쿠폰이 없을 때는 공통 마스코트 empty UI와 안내 메시지를 표시해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-015,"D-DAY 뱃지는 사용완료, 만료, D-DAY, D-n 상태를 구분해 표시해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.3 쿠폰 등록/수정,5,,,FR-020,"쿠폰 등록/수정 화면은 이미지, 코드값, 쿠폰명, 브랜드, 유효기간, 카테고리, 메모를 입력받아야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.3 쿠폰 등록/수정,5,,,FR-021,필수값이 비어 있으면 저장 버튼은 비활성화되어야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.3 쿠폰 등록/수정,5,,,FR-022,갤러리 이미지 선택 후 OCR/바코드/QR 정보 추출 버튼을 제공해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.3 쿠폰 등록/수정,5,,,FR-023,"코드값이 링크 또는 QR 유형이면 QR 코드 미리보기를, 그 외에는 Code128 바코드 미리보기를 표시해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.3 쿠폰 등록/수정,5,,,FR-024,수정 모드에서는 기존 이미지와 입력값이 미리 채워지고 CTA 문구는 수정하기로 표시되어야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-030,"쿠폰 상세는 카테고리/브랜드, 쿠폰명, 유효기간, D-DAY 뱃지, 이미지, 코드, 팁 카드, 사용 완료 버튼을 표시해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-031,쿠폰 이미지는 전체화면 팝업에서 확대 확인 가능해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-032,코드 영역은 전체화면 팝업에서 확대 확인 가능해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-033,사용 완료 처리와 사용 미완료 되돌리기는 확인 다이얼로그 후 수행되어야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-034,수정/삭제 메뉴를 제공하고 삭제 시 알림 스케줄도 함께 취소해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-035,멤버십 화면으로 가기 바텀시트에서 멤버십 목록을 확인하고 상세로 이동할 수 있어야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.5 멤버십 리스트,7,,,FR-040,멤버십 탭은 등록된 멤버십 목록과 등록 FAB를 제공해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.5 멤버십 리스트,7,,,FR-041,멤버십이 없으면 공통 마스코트 empty UI와 안내 메시지를 표시해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.5 멤버십 리스트,7,,,FR-042,멤버십 항목을 누르면 멤버십 상세 화면으로 이동해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.6 멤버십 등록/수정,8,,,FR-050,"멤버십 등록/수정 화면은 이미지, 멤버십 이름, 브랜드, 카드번호, 메모를 입력받아야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.6 멤버십 등록/수정,8,,,FR-051,갤러리 이미지 선택과 이미지에서 정보 추출하기를 제공해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.6 멤버십 등록/수정,8,,,FR-052,수정 모드에서는 기존 이미지와 입력값이 미리 채워져야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.7 멤버십 상세,9,,,FR-060,"멤버십 상세는 브랜드, 멤버십명, 이미지, 카드번호 바코드, 팁 카드, 쿠폰함으로 가기 버튼을 표시해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.7 멤버십 상세,9,,,FR-061,이미지와 바코드는 전체화면 팝업으로 확대 확인 가능해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.7 멤버십 상세,9,,,FR-062,수정/삭제 메뉴를 제공하고 삭제 시 로컬 데이터와 이미지 파일을 삭제해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.7 멤버십 상세,9,,,FR-063,쿠폰함 바텀시트에서 쿠폰 목록을 확인하고 쿠폰 상세로 이동할 수 있어야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.8 알림 리스트,10,,,FR-070,최근 알림 리스트는 notification_logs 기반으로 표시되어야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.8 알림 리스트,10,,,FR-071,"읽은 알림은 삭제 버튼이 표시되고, 안 읽은 알림은 상세 이동 흐름을 제공해야 한다.",Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.8 알림 리스트,10,,,FR-072,알림이 없으면 공통 마스코트 empty UI를 표시하고 전체 삭제 버튼은 비활성화되어야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.8 알림 리스트,10,,,FR-073,알림 시간 문구는 날짜 기준으로 방금 전/분 전/시간 전/일 전 형태로 표시해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.9 설정,11,,,FR-080,설정 화면은 알림 마스터 토글과 세부 알림 토글을 제공해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.9 설정,11,,,FR-081,"Android 13 이상은 시스템 알림 권한 요청, Android 12 이하는 앱 내부 동의 다이얼로그로 분기해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.9 설정,11,,,FR-082,토글 변경 시 쿠폰 알림을 재스케줄해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.9 설정,11,,,FR-083,개발/내부 테스트용 알림 테스트와 테스트 쿠폰 추가 기능을 제공해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.9 설정,11,,,FR-084,설정 하단에는 앱 버전명과 빌드 번호를 낮은 강조도로 표시해야 한다.,Low,
01_requirements,요구사항 정의서 > 4. 비기능 요구사항,12,,,NFR-001,주요 데이터는 로컬 SQLite에 저장되어 앱 재시작 후에도 유지되어야 한다.,High,
01_requirements,요구사항 정의서 > 4. 비기능 요구사항,12,,,NFR-002,이미지는 DB에 직접 저장하지 않고 앱 문서 디렉터리의 상대 경로와 메타데이터를 분리 저장해야 한다.,High,
01_requirements,요구사항 정의서 > 4. 비기능 요구사항,12,,,NFR-003,네트워크와 서버가 없어도 핵심 기능은 동작해야 한다.,High,
01_requirements,요구사항 정의서 > 4. 비기능 요구사항,12,,,NFR-004,Chrome 실행은 구조 확인용으로 유지하되 웹 미지원 알림 호출은 앱 실행을 막지 않아야 한다.,Medium,
01_requirements,요구사항 정의서 > 4. 비기능 요구사항,12,,,NFR-005,"화면은 밝고 둥근 카드형 UI, 하늘색 포인트 컬러, 마스코트 empty UI를 일관되게 사용해야 한다.",Medium,
01_requirements,요구사항 정의서 > 4. 비기능 요구사항,12,,,NFR-006,"삭제, 사용 완료, 사용 미완료 같은 상태 변경은 확인 다이얼로그를 거쳐야 한다.",High,
01_requirements,요구사항 정의서 > 4. 비기능 요구사항,12,,,NFR-007,"상태관리 라이브러리 없이 StatefulWidget, setState, Repository 캐시 기반으로 동작한다.",Medium,
01_requirements,요구사항 정의서 > 5. MVP 범위 > 포함 기능,13,쿠폰 CRUD,,MVP-IN-001,,,"로컬 쿠폰 등록, 조회, 수정, 삭제"
01_requirements,요구사항 정의서 > 5. MVP 범위 > 포함 기능,13,멤버십 CRUD,,MVP-IN-002,,,"로컬 멤버십 등록, 조회, 수정, 삭제"
01_requirements,요구사항 정의서 > 5. MVP 범위 > 포함 기능,13,이미지 선택,,MVP-IN-003,,,갤러리 이미지 선택 및 로컬 파일 저장
01_requirements,요구사항 정의서 > 5. MVP 범위 > 포함 기능,13,OCR/코드 인식,,MVP-IN-004,,,갤러리 이미지 기반 텍스트/바코드/QR 인식
01_requirements,요구사항 정의서 > 5. MVP 범위 > 포함 기능,13,로컬 알림,,MVP-IN-005,,,쿠폰 만료 전/당일/만료 후 로컬 알림 예약
01_requirements,요구사항 정의서 > 5. MVP 범위 > 포함 기능,13,알림 인박스,,MVP-IN-006,,,"알림 로그 저장, 읽음, 삭제 표시"
01_requirements,요구사항 정의서 > 5. MVP 범위 > 포함 기능,13,TestFlight/Android 내부 테스트 배포 준비,,MVP-IN-007,,,버전/아이콘/권한/릴리즈 빌드 흐름 정리
01_requirements,요구사항 정의서 > 5. MVP 범위 > 제외 기능,14,로그인/회원가입,,MVP-OUT-001,,,"현재 미구현, 향후 백업/동기화 시 검토"
01_requirements,요구사항 정의서 > 5. MVP 범위 > 제외 기능,14,서버 동기화,,MVP-OUT-002,,,"현재 미구현, 로컬 단독 사용"
01_requirements,요구사항 정의서 > 5. MVP 범위 > 제외 기능,14,클라우드 백업,,MVP-OUT-003,,,"현재 미구현, 향후 이메일/서버 백업 예정"
01_requirements,요구사항 정의서 > 5. MVP 범위 > 제외 기능,14,실시간 카메라 스캔,,MVP-OUT-004,,,"현재 미구현, 갤러리 이미지 분석만 제공"
01_requirements,요구사항 정의서 > 5. MVP 범위 > 제외 기능,14,결제/구독/광고,,MVP-OUT-005,,,"현재 미구현, AdMob은 첫 심사 이후 검토"
01_requirements,요구사항 정의서 > 5. MVP 범위 > 제외 기능,14,계정 삭제,,MVP-OUT-006,,,계정 기능이 없으므로 미구현
01_requirements,요구사항 정의서 > 6. 향후 확장 고려 항목,15,로그인,,EXT-001,,Medium,이메일/소셜/게스트 계정 도입 시 로컬 데이터와 계정 매핑 필요
01_requirements,요구사항 정의서 > 6. 향후 확장 고려 항목,15,클라우드 백업,,EXT-002,,Medium,"user_id, remote_id, backup_state, remote_url 확장 가능"
01_requirements,요구사항 정의서 > 6. 향후 확장 고려 항목,15,이메일 백업,,EXT-003,,Low,CSV/JSON/이미지 묶음 내보내기 방식 검토
01_requirements,요구사항 정의서 > 6. 향후 확장 고려 항목,15,알림 로그 고도화,,EXT-004,,Medium,실제 발송 성공/실패 이력과 OS 알림 상태 추적
01_requirements,요구사항 정의서 > 6. 향후 확장 고려 항목,15,광고,,EXT-005,,Low,AdMob 도입 시 개인정보/광고 선언 및 SDK 심사 대응 필요
01_requirements,요구사항 정의서 > 6. 향후 확장 고려 항목,15,이미지 용량 강제 검증,,EXT-006,,Medium,현재 UI는 10MB를 안내하지만 저장 전 hard validation 보강 필요
